Feature,DataType,StatType,Description,Keep,Observations,Attack,AttackCat,IsAttack,IsDosAttack,IsProbeAttack,IsR2LAttack,IsU2RAttack,IsOtherAttack
Duration,int,continuous,The duration of the connection in seconds. It represents the length of time the connection lasted.,Yes,It has got some correlation with the IsOtherAttack response variable.,Yes,,,,,,,Yes
ProtocolType,chr,symbolic,"The protocol type of the network connection, such as TCP, UDP, ICMP, etc. It indicates the communication protocol used in the connection.",Yes,"3 values only in training data set, ranks with some signes of a good relations with the Attack response variable. It also shows signs of a strong relation with the Service feature  (Cramers-V: 0.892).",Yes,,,,,,,
Service,chr,symbolic,"The specific service or application associated with the network connection, such as http, ftp, smtp, etc. It represents the service or application layer protocol running on top of the network protocol.",Yes,It is sparsely distributed variable. It ranks well or very well among all response variable associations. <b><u>It looks like a star feature</u></b>.,,,,,,,,
Flag,chr,symbolic,"Represents the status of the connection, indicating whether it is normal or if specific flags are set in the network packets. It provides information about the connection status, such as whether it is established, closed, or has certain flags set.",Yes,"Sparse feature, ranking well in associations tables with the response variables, and more particularly with the IsAttack and IsDosAttack.",Yes,,Yes,Yes,,,,
SrcBytes,int,continuous,The number of data bytes transferred from source to destination. They indicate the amount of data transferred between the source and destination hosts.,No,It does not seem to be very correlated to any other feature and does not rank among the best related to response variables.,,,,,,,,
DstBytes,int,continuous,The number of data bytes transferred from destination to source. They indicate the amount of data transferred between the destination and source hosts.,No,It does not seem to be very correlated to any other feature and does not rank among the best related to response variables.,,,,,,,,
Land,int,symbolic,"Indicates whether the connection is from/to the same host/port (land attack). It is a binary field that indicates if the connection is a ""land"" attack, where the source and destination IP addresses and ports are the same.",Yes,It is strange because from the description it seems like a response variable as it indicates if a connection is a land attack. Additionnally it is essentially "0" and only nine "1" which bizarrely it is the exact same number of "land" attacks among the "Attack" response variable. This may also be why it is also reported as having a perfect relation with the "Attack" response variable. We'll keep it but we'll also be careful about using it as it could lead to portential overfit.  ,Yes,,,,,,,
WrongFragment,int,continuous,The number of "wrong" fragments received or sent. It represents the count of improperly formed or malformed IP fragments.,No,It does not rank among the best related to response variables and relates poorly to other features.,,,,,,,,
Urgent,int,symbolic,The number of urgent packets. It indicates the number of packets with the urgent bit set.,Yes,It shows signs of a good association with the "Attack" response variable and seems to moderately relate to the RootShell feature. We'll keep it for now.,Yes,,,,,,,
Hot,int,continuous,"Indicates whether the login belongs to a ""hot"" list, which is a list of hosts that are considered potentially vulnerable or suspicious.",No,"It does not rank among the best related to response variables. Despite having some relation with NumFile and IsGuestLogin, we'll discard it.",,,,,,,,
NumFailedLogin,int,symbolic,The number of failed login attempts. It represents the count of failed login attempts in the session.,Yes,"It appears among the ""Attack"" related features, as well as the ""IsR2LAttack"" flag (actually qualified by both the Chi-Square and the Correlations tests because despite being numeric we also qualified as symbolic as it had a few discrete integer values ranging from 0 to 4).  ",Yes,,,,,Yes,,
LoggedIn,int,symbolic,Indicates whether the login was successfully performed. It is a binary field that indicates if the login was successful or not.,Yes,"Despite being binary, it actually shows signs of a strong relationship with the ""Service"" feature, which is more sparsely distributed, and some kind of relation is quite a few other ones. Additionally it ranks well in relations with the ""Attack"", ""AttackCat"", ""IsAttack"" and the ""IsDosAttack"" response variables. We'll keep it for now although will be careful about a potential overlap with the ""Service"" feature.",Yes,Yes,Yes,Yes,,,,
NumCompromised,int,continuous,The number of compromised conditions. It represents the count of compromised conditions in the session.,No,It shows a strong relation with the "NumRoot" and "SuAttempted" features. It does not show signs o any relation with the response variables.,,,,,,,,
RootShell,int,symbolic,Indicates whether the root shell was obtained. It is a binary field that indicates if the root shell was obtained in the session.,Yes,"It shows signs of a good association with the ""Attack"" response variable, as well as a moderate one with ""AttackCat"" and ""IsU2RAttack"". It is actually the only variable to be reported as having some relation with ""IsU2RAttack"" although it is a moderate one. It also somehow relates  to the ""Urgent"" and ""NumShells"" features.",Yes,Yes,,,,,Yes,
SuAttempted,int,symbolic,Indicates whether the "su" command was attempted. It is a binary field that indicates if the "su" command was attempted in the session.,No,"It shows a strong relation with the ""NumRoot"" and ""NumCompromised"" features, as well as a good one with ""NumAccessFiles"". It does not show signs o any relation with the response variables.",,,,,,,,
NumRoot,int,continuous,The number of root accesses. It represents the count of root accesses in the session.,No,"It has a 0.99578 correlation with NumCompromised, which has a larger number of the second most represented value, ""1"" (0.46%). ",,,,,,,,
NumFile,int,continuous,The number of file creations. It represents the count of file creations in the session.,No,It does not show signs o any relation with the response variables.,,,,,,,,
NumShells,int,symbolic,The number of shell prompts. It represents the count of shell prompts in the session.,Yes,It seems to have some relation with the "RootShell" feature and appears to have a good one with "Attack".,Yes,,,,,,,
NumAccessFiles,int,symbolic,The number of access control files. It represents the count of access control files in the session.,No,It shows signs of a good relation with "SuAttempted". It does not show signs o any relation with the response variables.,,,,,,,,
NumOutboundCmds,int,continuous,The number of outbound commands. It represents the count of outbound commands in the session.,No,One single value,,,,,,,,
IsHostLogin,int,symbolic,"Indicates whether the login is a host login, which is a login attempt where the source of the login is a host machine, as opposed to a user login where the source is a specific user. It has a value of 1 if the login is a host login and 0 otherwise.",Yes,It shows signs of a moderate association with the "Attack" response variable.,Yes,,,,,,,
IsGuestLogin,int,symbolic,Indicates if the login is a guest login. It is a binary field that indicates if the login is a guest login.,Yes,"It seems to hold a good relation with the ""Attack"" and ""AttackCat"" features, as well as a moderate one with the ""IsR2LAttack"" one. It also has a strong relation with the ""Service"" feature.",Yes,Yes,,,,Yes,,
Count,int,continuous,Represents the number of connections to the same host in the past two seconds. It indicates the count of connections to the same destination host within a specific time window.,Yes,"From its functional description only, one could say it has to be seomehow related to some of the cyber attacks. In fact it shows signs of good relation with plenty of variables that also hold counts and it appears among the well related features to the ""IsAttack"" and ""IsDosAttack"" response variables.",Yes,,Yes,Yes,,,,
SrvCount,int,continuous,The number of connections to the same service in the past two seconds. It represents the count of connections to the same service within a specific time window.,Yes,"This one too, from its functional description only, one could say it has to be seomehow related to some of the cyber attacks. In fact it shows signs of good relation with plenty of variables that also hold service connection counts and, as well as ""Count"", it appears among the well related features to the ""Attack"" and ""IsDosAttack"" response variables.",Yes,,,Yes,,,,
SerrorRate,num,continuous,The percentage of connections that have "SYN" errors. It is the ratio of connections with "SYN" errors to the total number of connections.,Yes,It has signs of relations with most other features quantifying connections with "SYN" errors and relates well with the "IsAttack" and "IsDosAttack" response variables.,Yes,,Yes,Yes,,,,
SrvSerrorRate,num,continuous,The percentage of connections to the same service that have "SYN" errors. It is the ratio of connections with "SYN" errors to the total number of connections to the same service.,No,"Strongly related with ""SerrorRate"", it also holds similar relations with the ""IsAttack"" and ""IsDosAttack"" response variables, but the other ranks slightly better so we'll discard it on counts of potential redundancy.",No,,No,No,,,,
RerrorRate,num,continuous,The percentage of connections that have "REJ" errors. It is the ratio of connections with "REJ" errors to the total number of connections.,No,"It has a strong correlation with DstHostErrorRate but this one is sparser and ranks better in correlations with the IsAttack and IsDosAttack response variables, so we'll keep it instead ",No,,No,No,,,,
SrvRerrorRate,num,continuous,The percentage of connections to the same service that have "REJ" errors. It is the ratio of connections with "REJ" errors to the total number of connections to the same service.,No,"It has a strong correlation with DstHostErrorRate but this one is sparser and ranks better in correlations with the IsAttack and IsDosAttack response variables, so we'll keep it instead ",No,,No,No,,,,
SameSrvRate,num,continuous,The percentage of connections to the same service. It represents the ratio of connections to the same service to the total number of connections.,Yes,It has signs of relations with most other features quantifying connections to the same service and relates among the best with the "IsAttack" and "IsDosAttack" response variables.,Yes,,Yes,Yes,,,,
